Virus,Human_P,Human_G,Human_length,Weight,virus_protein_source,interaction_source
P0DTC3,O15305,PMM2,246,88.25,khorsand-ncbi-gordon,khorsand
P0DTC3,O14763,TR10B,440,98.25,khorsand-ncbi-gordon,khorsand
P0DTC3,O14657,TOR1B,336,65.25,khorsand-ncbi-gordon,khorsand
P0DTC3,O14656,TOR1A,332,109.25,khorsand-ncbi-gordon,khorsand
P0DTC3,O00308,WWP2,870,120.25,khorsand-ncbi-gordon,khorsand
P0DTC3,O00220,TR10A,468,103.25,khorsand-ncbi-gordon,khorsand
P0DTC3,O00186,STXB3,592,79.25,khorsand-ncbi-gordon,khorsand
P0DTC3,O00151,PDLI1,329,75.25,khorsand-ncbi-gordon,khorsand
P0DTC3,B7ZAP0,RBG10,253,116.25,khorsand-ncbi-gordon,khorsand
P0DTC3,A0MZ66,SHOT1,631,89.25,khorsand-ncbi-gordon,khorsand
P0DTC3,P36941,TNR3,435,52.25,khorsand-ncbi-gordon,khorsand
P0DTC4,A0FGR8,ESYT2,921,60.6,khorsand-ncbi-gordon,khorsand
P0DTC4,O00231,PSD11,422,54.53,khorsand-ncbi-gordon,khorsand
P0DTC4,O00232,PSD12,456,53.63,khorsand-ncbi-gordon,khorsand
P0DTC4,O00303,EIF3F,357,45.33,khorsand-ncbi-gordon,khorsand
P0DTC4,O00410,IPO5,1097,62.69,khorsand-ncbi-gordon,khorsand
P0DTC4,O00459,P85B,728,102.4,khorsand-ncbi-gordon,khorsand
P0DTC4,O00487,PSDE,310,46.52,khorsand-ncbi-gordon,khorsand
P0DTC4,O14641,DVL2,736,46.72,khorsand-ncbi-gordon,khorsand
P0DTC4,O14654,IRS4,1257,57.32,khorsand-ncbi-gordon,khorsand
P0DTC4,O14735,CDIPT,213,64.87,khorsand-ncbi-gordon,khorsand
P0DTC4,O14744,ANM5,637,40.5,khorsand-ncbi-gordon,khorsand
P0DTC4,O14828,SCAM3,347,51.56,khorsand-ncbi-gordon,khorsand
P0DTC4,O15027,SC16A,2357,40.38,khorsand-ncbi-gordon,khorsand
P0DTC4,O15226,NKRF,690,65.3,khorsand-ncbi-gordon,khorsand
P0DTC4,O15269,SPTC1,473,76.69,khorsand-ncbi-gordon,khorsand
P0DTC4,O15294,OGT1,1046,52.61,khorsand-ncbi-gordon,khorsand
P0DTC4,O15371,EIF3D,548,63.94,khorsand-ncbi-gordon,khorsand
P0DTC4,O43143,DHX15,795,50.34,khorsand-ncbi-gordon,khorsand
P0DTC4,O43242,PSMD3,534,54.38,khorsand-ncbi-gordon,khorsand
P0DTC4,O43390,HNRPR,633,76.65,khorsand-ncbi-gordon,khorsand
P0DTC4,O43823,AKAP8,692,56.84,khorsand-ncbi-gordon,khorsand
P0DTC4,O43852,CALU,315,49.03,khorsand-ncbi-gordon,khorsand
P0DTC4,O60506,HNRPQ,623,65.47,khorsand-ncbi-gordon,khorsand
P0DTC4,O60884,DNJA2,412,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,O75419,CDC45,566,44.16,khorsand-ncbi-gordon,khorsand
P0DTC4,O75569,PRKRA,313,83.66,khorsand-ncbi-gordon,khorsand
P0DTC4,O75688,PPM1B,479,50.03,khorsand-ncbi-gordon,khorsand
P0DTC4,O95071,UBR5,2799,73.09,khorsand-ncbi-gordon,khorsand
P0DTC4,O95573,ACSL3,720,43.25,khorsand-ncbi-gordon,khorsand
P0DTC4,O95639,CPSF4,269,71.15,khorsand-ncbi-gordon,khorsand
P0DTC4,O95793,STAU1,577,76.96,khorsand-ncbi-gordon,khorsand
P0DTC4,O95816,BAG2,211,64.92,khorsand-ncbi-gordon,khorsand
P0DTC4,P01889,HLAB,362,56.22,khorsand-ncbi-gordon,khorsand
P0DTC4,P02545,LMNA,664,46.44,khorsand-ncbi-gordon,khorsand
P0DTC4,P04843,RPN1,607,44.05,khorsand-ncbi-gordon,khorsand
P0DTC4,P05023,AT1A1,1023,53.23,khorsand-ncbi-gordon,khorsand
P0DTC4,P05141,ADT2,298,48.45,khorsand-ncbi-gordon,khorsand
P0DTC4,P05386,RLA1,114,55.91,khorsand-ncbi-gordon,khorsand
P0DTC4,P05387,RLA2,115,40.03,khorsand-ncbi-gordon,khorsand
P0DTC4,P05388,RLA0,317,46.57,khorsand-ncbi-gordon,khorsand
P0DTC4,P06576,ATPB,529,44.97,khorsand-ncbi-gordon,khorsand
P0DTC4,P06733,ENOA,434,62.64,khorsand-ncbi-gordon,khorsand
P0DTC4,P07237,PDIA1,508,80.17,khorsand-ncbi-gordon,khorsand
P0DTC4,P07355,ANXA2,339,59.65,khorsand-ncbi-gordon,khorsand
P0DTC4,P07437,TBB5,444,63.64,khorsand-ncbi-gordon,khorsand
P0DTC4,P07900,HS90A,732,54.52,khorsand-ncbi-gordon,khorsand
P0DTC4,P07910,HNRPC,306,74.66,khorsand-ncbi-gordon,khorsand
P0DTC4,P08195,4F2,630,82.94,khorsand-ncbi-gordon,khorsand
P0DTC4,P08238,HS90B,724,44.55,khorsand-ncbi-gordon,khorsand
P0DTC4,P08621,RU17,437,41,khorsand-ncbi-gordon,khorsand
P0DTC4,P08708,RS17,135,52.55,khorsand-ncbi-gordon,khorsand
P0DTC4,P08865,RSSA,295,56.57,khorsand-ncbi-gordon,khorsand
P0DTC4,P09012,SNRPA,282,52.19,khorsand-ncbi-gordon,khorsand
P0DTC4,P09651,ROA1,372,65.53,khorsand-ncbi-gordon,khorsand
P0DTC4,P0C0S8,H2A1,130,51.88,khorsand-ncbi-gordon,khorsand
P0DTC4,P0DMV8,HS71A,641,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,P11021,BIP,654,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,P11142,HSP7C,646,48.02,khorsand-ncbi-gordon,khorsand
P0DTC4,P11940,PABP1,636,86.02,khorsand-ncbi-gordon,khorsand
P0DTC4,P12004,PCNA,261,58.52,khorsand-ncbi-gordon,khorsand
P0DTC4,P12236,ADT3,298,61.07,khorsand-ncbi-gordon,khorsand
P0DTC4,P13674,P4HA1,534,64.58,khorsand-ncbi-gordon,khorsand
P0DTC4,P14625,ENPL,803,46.88,khorsand-ncbi-gordon,khorsand
P0DTC4,P14866,HNRPL,589,65.53,khorsand-ncbi-gordon,khorsand
P0DTC4,P15880,RS2,293,42.7,khorsand-ncbi-gordon,khorsand
P0DTC4,P16615,AT2A2,1042,60.52,khorsand-ncbi-gordon,khorsand
P0DTC4,P16989,YBOX3,372,40.51,khorsand-ncbi-gordon,khorsand
P0DTC4,P17987,TCPA,556,43.55,khorsand-ncbi-gordon,khorsand
P0DTC4,P18124,RL7,248,49.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P18583,SON,2426,55.47,khorsand-ncbi-gordon,khorsand
P0DTC4,P18621,RL17,184,49.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P19338,NUCL,710,48.53,khorsand-ncbi-gordon,khorsand
P0DTC4,P22626,ROA2,353,65.53,khorsand-ncbi-gordon,khorsand
P0DTC4,P23396,RS3,243,54.2,khorsand-ncbi-gordon,khorsand
P0DTC4,P23458,JAK1,1154,50.71,khorsand-ncbi-gordon,khorsand
P0DTC4,P25398,RS12,132,66.79,khorsand-ncbi-gordon,khorsand
P0DTC4,P25705,ATPA,553,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,P25789,PSA4,261,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,P26373,RL13,211,40.03,khorsand-ncbi-gordon,khorsand
P0DTC4,P26599,PTBP1,531,54.59,khorsand-ncbi-gordon,khorsand
P0DTC4,P26641,EF1G,437,49.11,khorsand-ncbi-gordon,khorsand
P0DTC4,P27348,1433T,245,53.19,khorsand-ncbi-gordon,khorsand
P0DTC4,P27824,CALX,592,49.55,khorsand-ncbi-gordon,khorsand
P0DTC4,P27986,P85A,724,67.91,khorsand-ncbi-gordon,khorsand
P0DTC4,P29692,EF1D,281,40.64,khorsand-ncbi-gordon,khorsand
P0DTC4,P30050,RL12,165,49.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P30153,2AAA,589,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,P31689,DNJA1,397,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,P31943,HNRH1,449,54.2,khorsand-ncbi-gordon,khorsand
P0DTC4,P31946,1433B,246,48.45,khorsand-ncbi-gordon,khorsand
P0DTC4,P33993,MCM7,719,42.21,khorsand-ncbi-gordon,khorsand
P0DTC4,P34932,HSP74,840,40.33,khorsand-ncbi-gordon,khorsand
P0DTC4,P35268,RL22,128,61.87,khorsand-ncbi-gordon,khorsand
P0DTC4,P35606,COPB2,906,42.45,khorsand-ncbi-gordon,khorsand
P0DTC4,P35637,FUS,526,47.26,khorsand-ncbi-gordon,khorsand
P0DTC4,P35998,PRS7,433,47.66,khorsand-ncbi-gordon,khorsand
P0DTC4,P36578,RL4,427,49.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P38159,RBMX,391,86.8,khorsand-ncbi-gordon,khorsand
P0DTC4,P38646,GRP75,679,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,P39019,RS19,145,73.39,khorsand-ncbi-gordon,khorsand
P0DTC4,P39023,RL3,403,49.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P40227,TCPZ,531,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,P40429,RL13A,203,46.78,khorsand-ncbi-gordon,khorsand
P0DTC4,P40938,RFC3,356,41.1,khorsand-ncbi-gordon,khorsand
P0DTC4,P42285,MTREX,1042,58.53,khorsand-ncbi-gordon,khorsand
P0DTC4,P42677,RS27,84,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,P42766,RL35,123,49.77,khorsand-ncbi-gordon,khorsand
P0DTC4,P43243,MATR3,847,61.84,khorsand-ncbi-gordon,khorsand
P0DTC4,P43307,SSRA,286,51.37,khorsand-ncbi-gordon,khorsand
P0DTC4,P43686,PRS6B,418,40.52,khorsand-ncbi-gordon,khorsand
P0DTC4,P45984,MK09,424,45.72,khorsand-ncbi-gordon,khorsand
P0DTC4,P46013,KI67,3256,43.47,khorsand-ncbi-gordon,khorsand
P0DTC4,P46778,RL21,160,46.57,khorsand-ncbi-gordon,khorsand
P0DTC4,P46779,RL28,137,55.91,khorsand-ncbi-gordon,khorsand
P0DTC4,P46781,RS9,194,55.53,khorsand-ncbi-gordon,khorsand
P0DTC4,P46782,RS5,204,55.56,khorsand-ncbi-gordon,khorsand
P0DTC4,P46783,RS10,165,61.83,khorsand-ncbi-gordon,khorsand
P0DTC4,P46977,STT3A,705,43.74,khorsand-ncbi-gordon,khorsand
P0DTC4,P48643,TCPE,541,59.38,khorsand-ncbi-gordon,khorsand
P0DTC4,P49368,TCPG,545,42.8,khorsand-ncbi-gordon,khorsand
P0DTC4,P49458,SRP09,86,40.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P49755,TMEDA,219,46.24,khorsand-ncbi-gordon,khorsand
P0DTC4,P50402,EMD,254,55.7,khorsand-ncbi-gordon,khorsand
P0DTC4,P50914,RL14,215,49.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P50990,TCPQ,548,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,P50991,TCPD,539,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,P51114,FXR1,621,47.68,khorsand-ncbi-gordon,khorsand
P0DTC4,P51617,IRAK1,712,54.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P51648,AL3A2,485,43.8,khorsand-ncbi-gordon,khorsand
P0DTC4,P51665,PSMD7,324,42.8,khorsand-ncbi-gordon,khorsand
P0DTC4,P51991,ROA3,378,50.34,khorsand-ncbi-gordon,khorsand
P0DTC4,P52272,HNRPM,730,40.03,khorsand-ncbi-gordon,khorsand
P0DTC4,P52292,IMA1,529,58.92,khorsand-ncbi-gordon,khorsand
P0DTC4,P52597,HNRPF,415,54.2,khorsand-ncbi-gordon,khorsand
P0DTC4,P53007,TXTP,311,86.38,khorsand-ncbi-gordon,khorsand
P0DTC4,P53618,COPB,953,49.95,khorsand-ncbi-gordon,khorsand
P0DTC4,P55084,ECHB,474,42.17,khorsand-ncbi-gordon,khorsand
P0DTC4,P55265,DSRAD,1226,73.25,khorsand-ncbi-gordon,khorsand
P0DTC4,P60660,MYL6,151,44.97,khorsand-ncbi-gordon,khorsand
P0DTC4,P60866,RS20,119,49.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P61247,RS3A,264,50.25,khorsand-ncbi-gordon,khorsand
P0DTC4,P61254,RL26,145,42.32,khorsand-ncbi-gordon,khorsand
P0DTC4,P61313,RL15,204,49.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P61353,RL27,136,40.03,khorsand-ncbi-gordon,khorsand
P0DTC4,P61962,DCAF7,342,66.7,khorsand-ncbi-gordon,khorsand
P0DTC4,P61978,HNRPK,463,65.53,khorsand-ncbi-gordon,khorsand
P0DTC4,P62191,PRS4,440,42.32,khorsand-ncbi-gordon,khorsand
P0DTC4,P62195,PRS8,406,56.93,khorsand-ncbi-gordon,khorsand
P0DTC4,P62241,RS8,208,40.03,khorsand-ncbi-gordon,khorsand
P0DTC4,P62244,RS15A,130,64.26,khorsand-ncbi-gordon,khorsand
P0DTC4,P62249,RS16,146,49.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P62258,1433E,255,45.98,khorsand-ncbi-gordon,khorsand
P0DTC4,P62263,RS14,151,50.03,khorsand-ncbi-gordon,khorsand
P0DTC4,P62266,RS23,143,40.03,khorsand-ncbi-gordon,khorsand
P0DTC4,P62269,RS18,152,64.2,khorsand-ncbi-gordon,khorsand
P0DTC4,P62277,RS13,151,56.75,khorsand-ncbi-gordon,khorsand
P0DTC4,P62280,RS11,158,46.97,khorsand-ncbi-gordon,khorsand
P0DTC4,P62333,PRS10,389,42.41,khorsand-ncbi-gordon,khorsand
P0DTC4,P62424,RL7A,266,49.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P62750,RL23A,156,73.58,khorsand-ncbi-gordon,khorsand
P0DTC4,P62753,RS6,249,40.03,khorsand-ncbi-gordon,khorsand
P0DTC4,P62805,H4,103,56.95,khorsand-ncbi-gordon,khorsand
P0DTC4,P62829,RL23,140,60.66,khorsand-ncbi-gordon,khorsand
P0DTC4,P62841,RS15,145,56.75,khorsand-ncbi-gordon,khorsand
P0DTC4,P62847,RS24,133,61.17,khorsand-ncbi-gordon,khorsand
P0DTC4,P62851,RS25,125,40.03,khorsand-ncbi-gordon,khorsand
P0DTC4,P62899,RL31,125,42.32,khorsand-ncbi-gordon,khorsand
P0DTC4,P62917,RL8,257,52.02,khorsand-ncbi-gordon,khorsand
P0DTC4,P63104,1433Z,245,55.26,khorsand-ncbi-gordon,khorsand
P0DTC4,P67809,YBOX1,324,72.67,khorsand-ncbi-gordon,khorsand
P0DTC4,P68104,EF1A1,462,70.65,khorsand-ncbi-gordon,khorsand
P0DTC4,P68371,TBB4B,445,42.7,khorsand-ncbi-gordon,khorsand
P0DTC4,P82914,RT15,257,43.02,khorsand-ncbi-gordon,khorsand
P0DTC4,P83731,RL24,157,49.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P84098,RL19,196,49.16,khorsand-ncbi-gordon,khorsand
P0DTC4,P84103,SRSF3,164,40.71,khorsand-ncbi-gordon,khorsand
P0DTC4,P98175,RBM10,930,40.72,khorsand-ncbi-gordon,khorsand
P0DTC4,Q00325,MPCP,362,67.44,khorsand-ncbi-gordon,khorsand
P0DTC4,Q00587,BORG5,391,50.18,khorsand-ncbi-gordon,khorsand
P0DTC4,Q00610,CLH1,1675,41.94,khorsand-ncbi-gordon,khorsand
P0DTC4,Q00839,HNRPU,825,65.53,khorsand-ncbi-gordon,khorsand
P0DTC4,Q01813,PFKAP,784,42.09,khorsand-ncbi-gordon,khorsand
P0DTC4,Q02878,RL6,288,49.16,khorsand-ncbi-gordon,khorsand
P0DTC4,Q07020,RL18,188,44.57,khorsand-ncbi-gordon,khorsand
P0DTC4,Q08211,DHX9,1270,59.05,khorsand-ncbi-gordon,khorsand
P0DTC4,Q09666,AHNK,5890,49.38,khorsand-ncbi-gordon,khorsand
P0DTC4,Q10570,CPSF1,1443,61.06,khorsand-ncbi-gordon,khorsand
P0DTC4,Q12905,ILF2,390,60.81,khorsand-ncbi-gordon,khorsand
P0DTC4,Q12906,ILF3,894,80.56,khorsand-ncbi-gordon,khorsand
P0DTC4,Q13151,ROA0,305,60.95,khorsand-ncbi-gordon,khorsand
P0DTC4,Q13200,PSMD2,908,54.77,khorsand-ncbi-gordon,khorsand
P0DTC4,Q13310,PABP4,644,48.48,khorsand-ncbi-gordon,khorsand
P0DTC4,Q13435,SF3B2,895,42.19,khorsand-ncbi-gordon,khorsand
P0DTC4,Q14103,HNRPD,355,44.59,khorsand-ncbi-gordon,khorsand
P0DTC4,Q14160,SCRIB,1630,48.53,khorsand-ncbi-gordon,khorsand
P0DTC4,Q14257,RCN2,317,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,Q14315,FLNC,2725,42.58,khorsand-ncbi-gordon,khorsand
P0DTC4,Q14318,FKBP8,412,54.8,khorsand-ncbi-gordon,khorsand
P0DTC4,Q14697,GANAB,944,47.81,khorsand-ncbi-gordon,khorsand
P0DTC4,Q14974,IMB1,876,41.2,khorsand-ncbi-gordon,khorsand
P0DTC4,Q15008,PSMD6,389,59.74,khorsand-ncbi-gordon,khorsand
P0DTC4,Q15046,SYK,597,41.94,khorsand-ncbi-gordon,khorsand
P0DTC4,Q15293,RCN1,331,51.19,khorsand-ncbi-gordon,khorsand
P0DTC4,Q15365,PCBP1,356,80.03,khorsand-ncbi-gordon,khorsand
P0DTC4,Q15366,PCBP2,365,50.23,khorsand-ncbi-gordon,khorsand
P0DTC4,Q15633,TRBP2,366,47.95,khorsand-ncbi-gordon,khorsand
P0DTC4,Q15717,ELAV1,326,50.95,khorsand-ncbi-gordon,khorsand
P0DTC4,Q15773,MLF2,248,50.65,khorsand-ncbi-gordon,khorsand
P0DTC4,Q1KMD3,HNRL2,747,46.86,khorsand-ncbi-gordon,khorsand
P0DTC4,Q2TB90,HKDC1,917,57.03,khorsand-ncbi-gordon,khorsand
P0DTC4,Q3KQU3,MA7D1,841,50.62,khorsand-ncbi-gordon,khorsand
P0DTC4,Q3ZCQ8,TIM50,353,54.05,khorsand-ncbi-gordon,khorsand
P0DTC4,Q49A26,GLYR1,553,48.26,khorsand-ncbi-gordon,khorsand
P0DTC4,Q53H12,AGK,422,48.79,khorsand-ncbi-gordon,khorsand
P0DTC4,Q5H9R7,PP6R3,873,88.58,khorsand-ncbi-gordon,khorsand
P0DTC4,Q5JVF3,PCID2,399,40.62,khorsand-ncbi-gordon,khorsand
P0DTC4,Q5SRD1,TI23B,188,42.34,khorsand-ncbi-gordon,khorsand
P0DTC4,Q6P3X3,TTC27,843,47.05,khorsand-ncbi-gordon,khorsand
P0DTC4,Q6PKG0,LARP1,1096,47.92,khorsand-ncbi-gordon,khorsand
P0DTC4,Q6UN15,FIP1,594,41.84,khorsand-ncbi-gordon,khorsand
P0DTC4,Q7Z4H7,HAUS6,955,40.38,khorsand-ncbi-gordon,khorsand
P0DTC4,Q86U42,PABP2,306,41.96,khorsand-ncbi-gordon,khorsand
P0DTC4,Q86UA1,PRP39,669,48.8,khorsand-ncbi-gordon,khorsand
P0DTC4,Q8IX01,SUGP2,1082,47.1,khorsand-ncbi-gordon,khorsand
P0DTC4,Q8N163,CCAR2,923,55.01,khorsand-ncbi-gordon,khorsand
P0DTC4,Q8N448,LNX2,690,63.57,khorsand-ncbi-gordon,khorsand
P0DTC4,Q8NC51,PAIRB,408,59.16,khorsand-ncbi-gordon,khorsand
P0DTC4,Q8NF37,PCAT1,534,42.35,khorsand-ncbi-gordon,khorsand
P0DTC4,Q8TCU4,ALMS1,4168,45.16,khorsand-ncbi-gordon,khorsand
P0DTC4,Q8WVX9,FACR1,515,41.27,khorsand-ncbi-gordon,khorsand
P0DTC4,Q92499,DDX1,740,59.16,khorsand-ncbi-gordon,khorsand
P0DTC4,Q92569,P55G,461,44.55,khorsand-ncbi-gordon,khorsand
P0DTC4,Q92621,NU205,2012,44.02,khorsand-ncbi-gordon,khorsand
P0DTC4,Q92900,RENT1,1129,54.91,khorsand-ncbi-gordon,khorsand
P0DTC4,Q96A33,CCD47,483,43.79,khorsand-ncbi-gordon,khorsand
P0DTC4,Q96CS3,FAF2,445,41.59,khorsand-ncbi-gordon,khorsand
P0DTC4,Q96SI9,STRBP,672,42.85,khorsand-ncbi-gordon,khorsand
P0DTC4,Q96TA2,YMEL1,773,45.7,khorsand-ncbi-gordon,khorsand
P0DTC4,Q99460,PSMD1,953,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,Q99615,DNJC7,494,52.43,khorsand-ncbi-gordon,khorsand
P0DTC4,Q99729,ROAA,332,65.53,khorsand-ncbi-gordon,khorsand
P0DTC4,Q99832,TCPH,543,42.8,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9BQA1,MEP50,342,42.83,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9BRK5,CAB45,362,57.36,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9BUJ2,HNRL1,856,53.43,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9BXW9,FACD2,1451,46.15,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9H936,GHC1,323,43.99,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9HCE1,MOV10,1003,67.45,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9NNW5,WDR6,1121,72.92,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9NRN7,ADPPT,309,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9NTJ3,SMC4,1288,44.83,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9NUL3,STAU2,570,60.68,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9NVI1,FANCI,1328,56.27,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9NXS2,QPCTL,382,51.64,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9NYF8,BCLF1,920,45.19,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9NZ01,TECR,308,56.17,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9NZB2,F120A,1118,56.16,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9P035,HACD3,362,68.31,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9UBB4,ATX10,475,44.24,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9UBM7,DHCR7,475,44.08,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9UBS4,DJB11,358,46.18,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9UBX3,DIC,287,44.47,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9UL15,BAG5,447,40.56,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9ULX6,AKP8L,646,42.62,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9UNM6,PSD13,376,59.74,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9UQ35,SRRM2,2752,47.05,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9Y224,RTRAF,244,43.21,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9Y262,EIF3L,564,45.05,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9Y265,RUVB1,456,44.61,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9Y2X3,NOP58,529,71.6,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9Y3I0,RTCB,505,53.55,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9Y3U8,RL36,105,40.69,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9Y5V3,MAGD1,778,55.42,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9Y6M1,IF2B2,599,55.1,khorsand-ncbi-gordon,khorsand
P0DTC4,Q9Y6N5,SQOR,450,45.07,khorsand-ncbi-gordon,khorsand
P0DTC4,Q8IWA5,CTL2,706,84.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC4,Q86VM9,ZCH18,953,101.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC4,Q6UX04,CWC27,472,97.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC4,P25440,BRD2,801,70.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC4,O60885,BRD4,1362,64.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC4,O00203,AP3B1,1094,67.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC4,O75746,CMC1,678,109.25,khorsand-ncbi-gordon,khorsand
P0DTC5,O15027,SC16A,2357,42.68,khorsand-ncbi-gordon,khorsand
P0DTC5,O95071,UBR5,2799,43.22,khorsand-ncbi-gordon,khorsand
P0DTC5,P30876,RPB2,1174,47.85,khorsand-ncbi-gordon,khorsand
P0DTC5,Q5H9R7,PP6R3,873,45.61,khorsand-ncbi-gordon,khorsand
P0DTC5,Q7Z4H7,HAUS6,955,42.68,khorsand-ncbi-gordon,khorsand
P0DTC5,Q99615,DNJC7,494,43.22,khorsand-ncbi-gordon,khorsand
P0DTC5,Q9BRK5,CAB45,362,42.68,khorsand-ncbi-gordon,khorsand
P0DTC5,Q9NTJ3,SMC4,1288,40.29,khorsand-ncbi-gordon,khorsand
P0DTC5,Q9Y6E2,BZW2,419,90.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q9Y312,AAR2,384,105.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q9ULX6,AKP8L,646,54.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q9UDR5,AASS,926,79.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q9UBU6,FA8A1,413,93.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q9NQC3,RTN4,1192,61.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q9BW92,SYTM,718,96.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q9BSJ2,GCP2,902,99.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q9BQT8,ODC,299,59.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q96HW7,INT4,963,102.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q96HR9,REEP6,211,119.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q96ER3,SAAL1,474,115.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q96D53,COQ8B,544,105.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q96CW5,GCP3,907,108.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q8NEW0,ZNT7,376,74.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q7L8L6,FAKD5,764,58.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q6PML9,ZNT9,568,97.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q5JRX3,PREP,1037,106.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q4KMQ2,ANO6,910,99.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q10713,MPPA,525,72.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,Q00765,REEP5,189,79.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,P48556,PSMD8,350,89.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,P38606,VATA,617,84.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,P38435,VKGC,758,53.25,khorsand-ncbi-gordon,khorsand-gordon
P0DTC5,P27105,STOM,288,89.25,khorsand-ncbi-gordon,khorsand-gordon
