Drug,Unnamed: 1,GENE,Query Score,Interaction Score,Normalized_query_score,Normalized_interaction_score
  MAGNESIUM LACTATE,,ATP1A1,21.78,11.36,0.18877284595300264,0.03333039931930874
  ALUMINUM ACETATE,,ATP1A1,15.25,3.98,0.131940818102698,0.01167737581785641
  ALUMINUM PHOSPHATE,,ATP1A1,15.25,3.98,0.131940818102698,0.01167737581785641
  DIGITOXIN,,ATP1A1,13.31,1.39,0.11505657093124458,0.004078279494175982
  ISTAROXIME,,ATP1A1,13.07,3.41,0.11296779808529157,0.010004987823841799
  DESLANOSIDE,,ATP1A1,11.62,2.02,0.10034812880765884,0.0059267083296658165
  ACETYLDIGITOXIN,,ATP1A1,11.43,1.99,0.09869451697127939,0.005838687908928205
  BRETYLIUM,,ATP1A1,10.89,5.68,0.09399477806788513,0.01666519965965437
  BEPRIDIL,,ATP1A1,8.71,1.14,0.07502175805047868,0.0033447759880292226
  CICLOPIROX,,ATP1A1,8.71,4.54,0.07502175805047868,0.013320423671625151
  OUABAIN,,ATP1A1,7.92,2.07,0.06814621409921671,0.006073409030895168
  EPLERENONE,,ATP1A1,4.36,2.27,0.03716275021758051,0.0066602118358125755
  DIGOXIN,,ATP1A1,3.84,0.67,0.03263707571801567,0.0019657893964733155
  HYDROFLUMETHIAZIDE,,ATP1A1,3.17,0.83,0.026805918189730202,0.002435231640407241
  DIAZOXIDE,,ATP1A1,2.05,0.53,0.017058311575282852,0.0015550274330311301
  CHLOROPROCAINE,,ATP1A1,1.74,0.45,0.014360313315926894,0.001320306311064167
  TRICHLORMETHIAZIDE,,ATP1A1,1.24,0.65,0.01000870322019147,0.0019071091159815745
  LUMEFANTRINE,,ATP1A1,1.09,0.57,0.008703220191470845,0.0016723879940146113
  ARTEMETHER,,ATP1A1,0.87,0.45,0.006788511749347259,0.001320306311064167
  ETIDRONIC ACID,,SLC25A5,4.65,7.57,0.039686684073107055,0.022210486166123877
  CLODRONIC ACID,,SLC25A5,2.61,5.68,0.02193211488250653,0.01666519965965437
  VOLOCIXIMAB,,ITGB1,4.36,5.68,0.03716275021758051,0.01666519965965437
  FIRATEGRAST,,ITGB1,2.9,3.79,0.024456048738033073,0.011119913153184873
  SAN-300,,ITGB1,2.18,2.84,0.01818973020017407,0.008332599829827186
  PF-04605412,,ITGB1,2.18,2.84,0.01818973020017407,0.008332599829827186
  ABITUZUMAB,,ITGB1,1.74,1.14,0.014360313315926894,0.0033447759880292226
  INTETUMUMAB,,ITGB1,1.74,1.14,0.014360313315926894,0.0033447759880292226
  GLPG-0187,,ITGB1,1.45,0.95,0.011836379460400347,0.0027873133233576857
  ETARACIZUMAB,,ITGB1,1.09,1.42,0.008703220191470845,0.004166299914913593
  ANTI-THYMOCYTE GLOBULIN (RABBIT),,ITGB1,0.97,1.26,0.007658833768494343,0.0036968576709796677
  NATALIZUMAB,,ITGB1,0.73,0.95,0.005570060922541341,0.0027873133233576857
  DINACICLIB,,CDK1,11.62,0.64,0.10034812880765884,0.0018777689757357042
  ARUNCIN B,,CDK1,8.71,1.93,0.07502175805047868,0.005662647067452982
  CHEMBL1082552,,CDK1,8.71,1.93,0.07502175805047868,0.005662647067452982
  ALVOCIDIB,,CDK1,6.93,0.22,0.05953002610966058,0.0006454830854091483
  HYMENIALDISINE,,CDK1,5.81,0.64,0.04978241949521323,0.0018777689757357042
  RIVICICLIB,,CDK1,4.36,0.96,0.03716275021758051,0.002816653463603556
  PROTUBOXEPIN A,,CDK1,4.36,0.96,0.03716275021758051,0.002816653463603556
  CHEMBL216543,,CDK1,4.36,0.32,0.03716275021758051,0.0009388844878678521
  SELICICLIB,,CDK1,3.48,0.26,0.029503916449086166,0.0007628436463926298
  ALSTERPAULLONE,,CDK1,3.14,0.08,0.026544821583986078,0.00023472112196696302
  AT-7519,,CDK1,3.11,0.23,0.02628372497824195,0.0006748232256550187
  RGB-286638,,CDK1,3.02,0.22,0.025500435161009576,0.0006454830854091483
  AG-24322,,CDK1,2.9,0.64,0.024456048738033073,0.0018777689757357042
  PATULIN,,CDK1,2.9,0.21,0.024456048738033073,0.0006161429451632779
  OLOMOUCINE,,CDK1,2.9,0.32,0.024456048738033073,0.0009388844878678521
  CHEMBL403183,,CDK1,2.61,0.19,0.02193211488250653,0.0005574626646715372
  MILCICLIB,,CDK1,2.49,0.28,0.02088772845953003,0.0008215239268843706
  ZOTIRACICLIB,,CDK1,2.38,0.18,0.019930374238468235,0.0005281225244256667
  CLOFIBRATE,,CDK1,2.32,0.13,0.019408181026979984,0.0003814218231963149
  BOHEMINE,,CDK1,2.18,0.48,0.01818973020017407,0.001408326731801778
  WITHAFERIN A,,CDK1,2.18,0.16,0.01818973020017407,0.00046944224393392605
  ROTENONE,,CDK1,1.87,0.14,0.015491731940818104,0.0004107619634421853
  SERTRALINE,,CDK1,1.81,0.08,0.014969538729329853,0.00023472112196696302
  (RS)-ROSCOVITINE,,CDK1,1.68,0.07,0.013838120104438642,0.00020538098172109265
  CINNARIZINE,,CDK1,1.54,0.11,0.012619669277632724,0.00032274154270457413
  RG-547,,CDK1,1.45,0.32,0.011836379460400347,0.0009388844878678521
  SU-9516,,CDK1,1.45,0.16,0.011836379460400347,0.00046944224393392605
  RONICICLIB,,CDK1,1.31,0.1,0.01061792863359443,0.0002934014024587038
  PHA-793887,,CDK1,1.24,0.09,0.01000870322019147,0.0002640612622128334
  CT-7001,,CDK1,1.09,0.24,0.008703220191470845,0.000704163365900889
  CLOTRIMAZOLE,,CDK1,0.97,0.05,0.007658833768494343,0.0001467007012293519
  FOSTAMATINIB,,CDK1,0.96,0.01,0.007571801566579635,2.9340140245870378e-05
  LY-2090314,,CDK1,0.84,0.04,0.006527415143603134,0.00011736056098348151
  FENOFIBRATE,,CDK1,0.84,0.06,0.006527415143603134,0.00017604084147522224
  BMS-387032,,CDK1,0.82,0.06,0.006353350739773717,0.00017604084147522224
  GO-6976,,CDK1,0.81,0.02,0.006266318537859009,5.8680280491740756e-05
  CHIR-99021,,CDK1,0.79,0.18,0.006092254134029592,0.0005281225244256667
  KENPAULLONE,,CDK1,0.74,0.02,0.005657093124456049,5.8680280491740756e-05
  CHEMBL541400,,CDK1,0.71,0.03,0.005395996518711923,8.802042073761112e-05
  CHEMBL578061,,CDK1,0.7,0.04,0.005308964316797215,0.00011736056098348151
  CYC-116,,CDK1,0.67,0.01,0.005047867711053091,2.9340140245870378e-05
  RUCAPARIB,,CDK1,0.66,0.03,0.004960835509138382,8.802042073761112e-05
  AZD-5438,,CDK1,0.65,0.05,0.004873803307223674,0.0001467007012293519
  LAUROGUADINE,,CDK1,0.62,0.03,0.004612706701479548,8.802042073761112e-05
  GW441756X,,CDK1,0.6,0.01,0.004438642297650131,2.9340140245870378e-05
  CHEMBL225519,,CDK1,0.59,0.01,0.004351610095735423,2.9340140245870378e-05
  VORUCICLIB,,CDK1,0.58,0.06,0.004264577893820714,0.00017604084147522224
  R-406,,CDK1,0.54,0.01,0.00391644908616188,2.9340140245870378e-05
  SNS-314,,CDK1,0.52,0.02,0.0037423846823324636,5.8680280491740756e-05
  RG-1530,,CDK1,0.51,0.01,0.0036553524804177552,2.9340140245870378e-05
  TAE-684,,CDK1,0.51,0.01,0.0036553524804177552,2.9340140245870378e-05
  AZD-1080,,CDK1,0.51,0.06,0.0036553524804177552,0.00017604084147522224
  PF-00562271,,CDK1,0.5,0.01,0.003568320278503047,2.9340140245870378e-05
  CENISERTIB,,CDK1,0.45,0.01,0.003133159268929504,2.9340140245870378e-05
  SP-600125,,CDK1,0.44,0.01,0.0030461270670147957,2.9340140245870378e-05
  BMS-345541,,CDK1,0.44,0.1,0.0030461270670147957,0.0002934014024587038
  JNJ-7706621,,CDK1,0.42,0.02,0.0028720626631853785,5.8680280491740756e-05
  CHEMBL1236539,,CDK1,0.34,0.07,0.0021758050478677114,0.00020538098172109265
  SOTRASTAURIN,,CDK1,0.31,0.02,0.0019147084421235858,5.8680280491740756e-05
  PHENETHYLISOTHIOCYANATE,,ATP5B,5.26,0.71,0.04499564838990427,0.0020831499574567964
  QUERCETIN,,ATP5B,2.16,0.36,0.01801566579634465,0.0010562450488513335
  PICEATANNOL,,ATP5B,1.45,1.58,0.011836379460400347,0.004635742158847519
  CALCIUM PHOSPHATE,,S100A6,0.79,0.86,0.006092254134029592,0.0025232520611448523
  CALCIUM CITRATE,,S100A6,0.79,0.86,0.006092254134029592,0.0025232520611448523
  ARTENIMOL,,ENO1,7.53,0.35,0.06475195822454309,0.0010269049086054631
  COPPER,,ENO1,5.63,0.3,0.04821583986074848,0.0008802042073761113
  METHYLDOPA,,ENO1,2.04,0.18,0.016971279373368148,0.0005281225244256667
  ZINC CHLORIDE,,ENO1,1.89,0.29,0.015665796344647518,0.0008508640671302408
  ARTENIMOL,,NPM1,7.53,0.09,0.06475195822454309,0.0002640612622128334
  CHEMBL3397300,,NPM1,7.26,2.96,0.062402088772845955,0.00868468151277763
  IXAZOMIB,,NPM1,5.81,2.37,0.04978241949521323,0.006953613238271279
  CRIZOTINIB,,NPM1,5.23,1.07,0.04473455178416015,0.0031393950063081304
  ASP-3026,,NPM1,4.36,3.55,0.03716275021758051,0.010415749787283983
  DEGUELIN,,NPM1,3.73,1.52,0.031679721496953875,0.004459701317372298
  VORINOSTAT,,NPM1,2.97,0.15,0.025065274151436036,0.00044010210368805564
  CERITINIB,,NPM1,2.9,1.18,0.024456048738033073,0.0034621365490127044
  LORLATINIB,,NPM1,2.49,1.01,0.02088772845953003,0.0029633541648329082
  VENETOCLAX,,NPM1,2.32,0.47,0.019408181026979984,0.0013789865915559076
  ALECTINIB,,NPM1,2.18,1.78,0.01818973020017407,0.005222544963764927
  TRETINOIN,,NPM1,1.78,0.24,0.014708442123585727,0.000704163365900889
  MIDOSTAURIN,,NPM1,1.34,0.27,0.010879025239338556,0.0007921837866385002
  DAUNORUBICIN,,NPM1,0.98,0.05,0.007745865970409052,0.0001467007012293519
  ENMD-2076,,NPM1,0.73,0.3,0.005570060922541341,0.0008802042073761113
  ENTRECTINIB,,NPM1,0.44,0.12,0.0030461270670147957,0.0003520816829504445
  RIBOSTAMYCIN,,P4HB,8.71,8.12,0.07502175805047868,0.023824193879646745
  ARTENIMOL,,P4HB,7.53,0.1,0.06475195822454309,0.0002934014024587038
  COPPER,,P4HB,5.63,0.08,0.04821583986074848,0.00023472112196696302
  ASTRAGALIN,,P4HB,4.36,4.06,0.03716275021758051,0.011912096939823372
  LIQUIRITIN,,P4HB,4.36,4.06,0.03716275021758051,0.011912096939823372
  SYROSINGOPINE,,P4HB,2.18,1.01,0.01818973020017407,0.0029633541648329082
  LOMITAPIDE MESYLATE,,P4HB,2.18,2.03,0.01818973020017407,0.005956048469911686
  CHEMBL579956,,P4HB,2.18,2.03,0.01818973020017407,0.005956048469911686
  METHYLDOPA,,P4HB,2.04,0.05,0.016971279373368148,0.0001467007012293519
  ZINC CHLORIDE,,P4HB,1.89,0.08,0.015665796344647518,0.00023472112196696302
  QUERCITRIN,,P4HB,1.45,1.35,0.011836379460400347,0.0039609189331925015
  CHEMBL522983,,P4HB,1.19,0.37,0.009573542210617928,0.0010855851890972038
  DIHYDRODAPHNODORIN B,,P4HB,1.09,1.01,0.008703220191470845,0.0029633541648329082
  RALOXIFENE HYDROCHLORIDE,,P4HB,0.79,0.18,0.006092254134029592,0.0005281225244256667
  TENECTEPLASE,,ANXA2,10.16,3.79,0.08764142732811141,0.011119913153184873
  ARTENIMOL,,ANXA2,7.53,0.28,0.06475195822454309,0.0008215239268843706
  N-ETHYLMALEIMIDE,,ANXA2,4.36,3.79,0.03716275021758051,0.011119913153184873
  WITHAFERIN A,,ANXA2,2.18,1.89,0.01818973020017407,0.005545286506469501
  LANOTEPLASE,,ANXA2,1.79,0.67,0.014795474325500435,0.0019657893964733155
  RETEPLASE,,PLG,26.13,5.5,0.22663185378590078,0.016137077135228706
  STREPTOKINASE,,PLG,23.96,10.08,0.2077458659704091,0.02957486136783734
  ANISTREPLASE,,PLG,23.23,4.89,0.20139251523063537,0.014347328580230613
  TENECTEPLASE,,PLG,22.87,1.37,0.19825935596170585,0.004019599213684242
  DESMOTEPLASE,,PLG,21.78,9.16,0.18877284595300264,0.026875568465217266
  UROKINASE,,PLG,8.71,1.83,0.07502175805047868,0.005369245664994279
  RADIOSUMIN B,,PLG,8.71,3.66,0.07502175805047868,0.010738491329988558
  ALTEPLASE,,PLG,6.84,0.96,0.0587467362924282,0.002816653463603556
  APROTININ,,PLG,5.81,1.22,0.04978241949521323,0.003579497109996186
  TRANEXAMIC ACID,,PLG,4.36,1.83,0.03716275021758051,0.005369245664994279
  DEFIBROTIDE SODIUM,,PLG,4.36,1.83,0.03716275021758051,0.005369245664994279
  COPPER,,PLG,3.75,0.03,0.03185378590078329,8.802042073761112e-05
  NYSTATIN,,PLG,2.9,1.22,0.024456048738033073,0.003579497109996186
  LEPIRUDIN,,PLG,2.9,1.22,0.024456048738033073,0.003579497109996186
  BORTEZOMIB,,PLG,2.71,0.04,0.022802436901653615,0.00011736056098348151
  HUMAN GROWTH HORMONE,,PLG,2.61,1.1,0.02193211488250653,0.0032274154270457416
  OXYMETHOLONE,,PLG,2.61,0.37,0.02193211488250653,0.0010855851890972038
  INOSITOL,,PLG,2.49,0.26,0.02088772845953003,0.0007628436463926298
  AMEDIPLASE,,PLG,2.18,0.92,0.01818973020017407,0.002699292902620075
  AMINOCAPROIC ACID,,PLG,2.18,0.92,0.01818973020017407,0.002699292902620075
  FIBRINOLYSIN,,PLG,2.18,0.31,0.01818973020017407,0.0009095443476219816
  MELAGATRAN,,PLG,2.18,0.31,0.01818973020017407,0.0009095443476219816
  GARLIC,,PLG,1.74,0.37,0.014360313315926894,0.0010855851890972038
  GABEXATE,,PLG,1.74,0.73,0.014360313315926894,0.0021418302379485376
  PREDNISOLONE,,PLG,1.68,0.14,0.013838120104438642,0.0004107619634421853
  COUMARIN,,PLG,1.45,0.31,0.011836379460400347,0.0009095443476219816
  CHEMBL35482,,PLG,1.18,0.1,0.00948651000870322,0.0002934014024587038
  DANAZOL,,PLG,1.02,0.43,0.008093994778067886,0.0012616260305724262
  GENISTEIN,,PLG,0.98,0.06,0.007745865970409052,0.00017604084147522224
  NORETHINDRONE,,PLG,0.87,0.37,0.006788511749347259,0.0010855851890972038
  RANOLAZINE,,PLG,0.36,0.15,0.002349869451697128,0.00044010210368805564
  COMBRETASTATIN A4,,TUBB,19.36,0.43,0.16771105308964318,0.0012616260305724262
  COLCHICINE,,TUBB,17.6,0.35,0.1523933855526545,0.0010269049086054631
  VINORELBINE,,TUBB,16.08,0.3,0.1391644908616188,0.0008802042073761113
  VINFLUNINE,,TUBB,14.0,0.34,0.12106179286335945,0.0009975647683595928
  PODOFILOX,,TUBB,13.64,0.25,0.11792863359442995,0.0007335035061467594
  VINCRISTINE,,TUBB,13.22,0.18,0.11427328111401219,0.0005281225244256667
  PACLITAXEL,,TUBB,13.07,0.14,0.11296779808529157,0.0004107619634421853
  VINBLASTINE,,TUBB,12.45,0.28,0.10757180156657964,0.0008215239268843706
  NOCODAZOLE,,TUBB,11.5,0.23,0.09930374238468234,0.0006748232256550187
  PATUPILONE,,TUBB,9.5,0.26,0.08189730200174065,0.0007628436463926298
  PHOMOPSIN A,,TUBB,8.71,1.93,0.07502175805047868,0.005662647067452982
  EPOTHILONE D,,TUBB,8.71,0.24,0.07502175805047868,0.000704163365900889
  ARTENIMOL,,TUBB,7.53,0.02,0.06475195822454309,5.8680280491740756e-05
  ABT-751,,TUBB,7.26,0.16,0.062402088772845955,0.00046944224393392605
  CHEMBL1935538,,TUBB,5.64,0.11,0.04830287206266319,0.00032274154270457413
  VERUBULIN,,TUBB,5.6,0.14,0.04795474325500435,0.0004107619634421853
  MAYTANSINE,,TUBB,5.44,0.12,0.046562228024369025,0.0003520816829504445
  CHEMBL2036119,,TUBB,5.44,0.12,0.046562228024369025,0.0003520816829504445
  ZAMPANOLIDE,,TUBB,5.44,0.12,0.046562228024369025,0.0003520816829504445
  CHEMBL2036124,,TUBB,5.44,0.12,0.046562228024369025,0.0003520816829504445
  CHEMBL453818,,TUBB,5.44,0.12,0.046562228024369025,0.0003520816829504445
  MAYTANSINOL,,TUBB,5.44,0.12,0.046562228024369025,0.0003520816829504445
  CHEMBL1795737,,TUBB,5.44,0.12,0.046562228024369025,0.0003520816829504445
  CYCLOSTREPTIN,,TUBB,5.44,0.12,0.046562228024369025,0.0003520816829504445
  PLINABULIN,,TUBB,5.23,0.13,0.04473455178416015,0.0003814218231963149
  CABAZITAXEL,,TUBB,4.61,0.11,0.03933855526544822,0.00032274154270457413
  ROSABULIN,,TUBB,4.36,0.96,0.03716275021758051,0.002816653463603556
  SIMOTAXEL,,TUBB,4.36,0.96,0.03716275021758051,0.002816653463603556
  BATABULIN,,TUBB,4.36,0.96,0.03716275021758051,0.002816653463603556
  ZD-6126,,TUBB,4.36,0.96,0.03716275021758051,0.002816653463603556
  COPPER,,TUBB,3.75,0.01,0.03185378590078329,2.9340140245870378e-05
  IXABEPILONE,,TUBB,3.73,0.09,0.031679721496953875,0.0002640612622128334
  LARGAZOLE,,TUBB,3.6,0.07,0.030548302872062668,0.00020538098172109265
  VORINOSTAT,,TUBB,2.97,0.04,0.025065274151436036,0.00011736056098348151
  DOLASTATIN-10,,TUBB,2.9,0.32,0.024456048738033073,0.0009388844878678521
  COLCHICEINE,,TUBB,2.9,0.32,0.024456048738033073,0.0009388844878678521
  FOSBRETABULIN DISODIUM,,TUBB,2.8,0.07,0.02358572671888599,0.00020538098172109265
  FOSBRETABULIN TROMETHAMINE,,TUBB,2.8,0.07,0.02358572671888599,0.00020538098172109265
  PACLITAXEL POLIGLUMEX,,TUBB,2.8,0.07,0.02358572671888599,0.00020538098172109265
  LEXIBULIN,,TUBB,2.8,0.07,0.02358572671888599,0.00020538098172109265
  DAVUNETIDE,,TUBB,2.8,0.07,0.02358572671888599,0.00020538098172109265
  CROLIBULIN,,TUBB,2.8,0.07,0.02358572671888599,0.00020538098172109265
  DOCETAXEL,,TUBB,2.8,0.07,0.02358572671888599,0.00020538098172109265
  SAGOPILONE,,TUBB,2.8,0.07,0.02358572671888599,0.00020538098172109265
  INDIBULIN,,TUBB,2.61,0.06,0.02193211488250653,0.00017604084147522224
  BRENTUXIMAB VEDOTIN,,TUBB,2.61,0.06,0.02193211488250653,0.00017604084147522224
  TRASTUZUMAB EMTANSINE,,TUBB,2.61,0.06,0.02193211488250653,0.00017604084147522224
  MEBENDAZOLE,,TUBB,2.61,0.19,0.02193211488250653,0.0005574626646715372
  ERIBULIN MESYLATE,,TUBB,2.61,0.06,0.02193211488250653,0.00017604084147522224
  VINORELBINE TARTRATE,,TUBB,2.45,0.06,0.020539599651871198,0.00017604084147522224
  VINCRISTINE SULFATE,,TUBB,2.31,0.06,0.019321148825065276,0.00017604084147522224
  LISAVANBULIN,,TUBB,2.18,0.48,0.01818973020017407,0.001408326731801778
  ALBENDAZOLE,,TUBB,2.18,0.12,0.01818973020017407,0.0003520816829504445
  MILATAXEL,,TUBB,2.18,0.48,0.01818973020017407,0.001408326731801778
  VINBLASTINE SULFATE,,TUBB,2.06,0.05,0.017145343777197564,0.0001467007012293519
  CURCUMIN,,TUBB,2.0,0.03,0.016623150565709312,8.802042073761112e-05
  VINDESINE,,TUBB,1.09,0.24,0.008703220191470845,0.000704163365900889
  DOCETAXEL,,TUBB,0.58,0.01,0.004264577893820714,2.9340140245870378e-05
  ERIBULIN,,TUBB,0.48,0.11,0.0033942558746736296,0.00032274154270457413
  COMBRETASTATIN A4,,TUBB2A,19.36,0.59,0.16771105308964318,0.0017310682745063522
  NOCODAZOLE,,TUBB2A,11.5,0.32,0.09930374238468234,0.0009388844878678521
  PACLITAXEL,,TUBB2A,11.33,0.17,0.09782419495213229,0.0004987823841797964
  COLCHICINE,,TUBB2A,9.78,0.27,0.08433420365535248,0.0007921837866385002
  PODOFILOX,,TUBB2A,9.09,0.23,0.0783289817232376,0.0006748232256550187
  VINORELBINE,,TUBB2A,8.04,0.2,0.06919060052219321,0.0005868028049174076
  VINCRISTINE,,TUBB2A,7.21,0.14,0.061966927763272416,0.0004107619634421853
  VINBLASTINE,,TUBB2A,6.22,0.19,0.05335073977371628,0.0005574626646715372
  CHEMBL1935538,,TUBB2A,5.64,0.16,0.04830287206266319,0.00046944224393392605
  ZAMPANOLIDE,,TUBB2A,5.44,0.17,0.046562228024369025,0.0004987823841797964
  CHEMBL453818,,TUBB2A,5.44,0.17,0.046562228024369025,0.0004987823841797964
  CHEMBL2036119,,TUBB2A,5.44,0.17,0.046562228024369025,0.0004987823841797964
  MAYTANSINE,,TUBB2A,5.44,0.17,0.046562228024369025,0.0004987823841797964
  CHEMBL2036124,,TUBB2A,5.44,0.17,0.046562228024369025,0.0004987823841797964
  MAYTANSINOL,,TUBB2A,5.44,0.17,0.046562228024369025,0.0004987823841797964
  CHEMBL1795737,,TUBB2A,5.44,0.17,0.046562228024369025,0.0004987823841797964
  CYCLOSTREPTIN,,TUBB2A,5.44,0.17,0.046562228024369025,0.0004987823841797964
  PHENETHYLISOTHIOCYANATE,,TUBB2A,5.26,0.05,0.04499564838990427,0.0001467007012293519
  ABT-751,,TUBB2A,4.84,0.15,0.04134029590948651,0.00044010210368805564
  IXABEPILONE,,TUBB2A,3.73,0.13,0.031679721496953875,0.0003814218231963149
  LARGAZOLE,,TUBB2A,3.6,0.09,0.030548302872062668,0.0002640612622128334
  VORINOSTAT,,TUBB2A,2.97,0.06,0.025065274151436036,0.00017604084147522224
  CROLIBULIN,,TUBB2A,2.8,0.09,0.02358572671888599,0.0002640612622128334
  FOSBRETABULIN TROMETHAMINE,,TUBB2A,2.8,0.09,0.02358572671888599,0.0002640612622128334
  DAVUNETIDE,,TUBB2A,2.8,0.09,0.02358572671888599,0.0002640612622128334
  VINFLUNINE,,TUBB2A,2.8,0.09,0.02358572671888599,0.0002640612622128334
  LEXIBULIN,,TUBB2A,2.8,0.09,0.02358572671888599,0.0002640612622128334
  PACLITAXEL POLIGLUMEX,,TUBB2A,2.8,0.09,0.02358572671888599,0.0002640612622128334
  VERUBULIN,,TUBB2A,2.8,0.09,0.02358572671888599,0.0002640612622128334
  SAGOPILONE,,TUBB2A,2.8,0.09,0.02358572671888599,0.0002640612622128334
  FOSBRETABULIN DISODIUM,,TUBB2A,2.8,0.09,0.02358572671888599,0.0002640612622128334
  DOCETAXEL,,TUBB2A,2.8,0.09,0.02358572671888599,0.0002640612622128334
  ERIBULIN MESYLATE,,TUBB2A,2.61,0.09,0.02193211488250653,0.0002640612622128334
  TRASTUZUMAB EMTANSINE,,TUBB2A,2.61,0.09,0.02193211488250653,0.0002640612622128334
  INDIBULIN,,TUBB2A,2.61,0.09,0.02193211488250653,0.0002640612622128334
  BRENTUXIMAB VEDOTIN,,TUBB2A,2.61,0.09,0.02193211488250653,0.0002640612622128334
  PLINABULIN,,TUBB2A,2.61,0.09,0.02193211488250653,0.0002640612622128334
  VINORELBINE TARTRATE,,TUBB2A,2.45,0.08,0.020539599651871198,0.00023472112196696302
  CABAZITAXEL,,TUBB2A,2.31,0.08,0.019321148825065276,0.00023472112196696302
  VINCRISTINE SULFATE,,TUBB2A,2.31,0.08,0.019321148825065276,0.00023472112196696302
  VINBLASTINE SULFATE,,TUBB2A,2.06,0.07,0.017145343777197564,0.00020538098172109265
  CURCUMIN,,TUBB2A,2.0,0.04,0.016623150565709312,0.00011736056098348151
  ENMD-981693,,TUBB2A,0.97,0.05,0.007658833768494343,0.0001467007012293519
  CHEMBL1163086,,EPRS,17.42,37.87,0.15082680591818975,0.1111111111111111
  ALASA,,EPRS,17.42,37.87,0.15082680591818975,0.1111111111111111
  CHEMBL1163074,,EPRS,17.42,37.87,0.15082680591818975,0.1111111111111111
  GLUTAMIC ACID,,EPRS,3.8,0.75,0.03228894691035684,0.0022005105184402783
  PROLINE,,EPRS,3.73,1.35,0.031679721496953875,0.0039609189331925015
  HALOFUGINONE,,EPRS,1.09,2.37,0.008703220191470845,0.006953613238271279
  GELDANAMYCIN,,HSP90AA1,22.65,0.28,0.19634464751958225,0.0008215239268843706
  ALVESPIMYCIN,,HSP90AA1,19.6,0.48,0.1697998259355962,0.001408326731801778
  TANESPIMYCIN,,HSP90AA1,18.43,0.27,0.1596170583115753,0.0007921837866385002
  RIFABUTIN,,HSP90AA1,17.42,0.64,0.15082680591818975,0.0018777689757357042
  CHEMBL360563,,HSP90AA1,17.42,1.28,0.15082680591818975,0.0037555379514714084
  CHEMBL178130,,HSP90AA1,17.42,1.28,0.15082680591818975,0.0037555379514714084
  CHEMBL553939,,HSP90AA1,13.07,0.48,0.11296779808529157,0.001408326731801778
  NOVOBIOCIN,,HSP90AA1,10.45,0.19,0.09016536118363795,0.0005574626646715372
  LUMINESPIB,,HSP90AA1,9.8,0.24,0.0845082680591819,0.000704163365900889
  GANETESPIB,,HSP90AA1,9.68,0.14,0.0834638816362054,0.0004107619634421853
  RETASPIMYCIN,,HSP90AA1,8.71,0.21,0.07502175805047868,0.0006161429451632779
  ARGENTEOSIDE A,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  BIIB021,,HSP90AA1,8.71,0.32,0.07502175805047868,0.0009388844878678521
  RETASPIMYCIN HYDROCHLORIDE,,HSP90AA1,8.71,0.21,0.07502175805047868,0.0006161429451632779
  CHEMBL192264,,HSP90AA1,8.71,0.32,0.07502175805047868,0.0009388844878678521
  CUCURBITACIN D,,HSP90AA1,8.71,0.32,0.07502175805047868,0.0009388844878678521
  MONOCILLIN I,,HSP90AA1,8.71,0.32,0.07502175805047868,0.0009388844878678521
  CHEMBL2022241,,HSP90AA1,8.71,0.32,0.07502175805047868,0.0009388844878678521
  CHEMBL1834096,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  RADANAMYCIN,,HSP90AA1,8.71,0.32,0.07502175805047868,0.0009388844878678521
  CHEMBL486921,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL109612,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL513225,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL326523,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL326651,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL410448,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL383189,,HSP90AA1,8.71,0.32,0.07502175805047868,0.0009388844878678521
  CHEMBL398346,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL113194,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL112896,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL326082,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL361078,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL554496,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL113690,,HSP90AA1,8.71,0.32,0.07502175805047868,0.0009388844878678521
  CHEMBL208239,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL109822,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL112834,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL380888,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
  CHEMBL1234416,,HSP90AA1,8.71,0.64,0.07502175805047868,0.0018777689757357042
