Drug_name,GENE,Query Score,Interaction Score,Normalized_query_score,Normalized_interaction_score
TRICLABENDAZOLE,HSP90AA1,0.73,0.05,0.005570061,0.000146701
CHEMBL2095095,HSP90AA1,0.73,0.02,0.005570061,5.87E-05
CHEMBL1306556,HSP90AA1,0.73,0.05,0.005570061,0.000146701
CHEMBL1098875,HSP90AA1,0.73,0.05,0.005570061,0.000146701
RHEIN,HSP90AA1,0.7,0.01,0.005308964,2.93E-05
DISULFIRAM,HSP90AA1,0.67,0.01,0.005047868,2.93E-05
CHEMBL533226,HSP90AA1,0.67,0.02,0.005047868,5.87E-05
CHEMBL600694,HSP90AA1,0.62,0.05,0.004612707,0.000146701
CHEMBL1287983,HSP90AA1,0.62,0.05,0.004612707,0.000146701
CYCLOHEXIMIDE,HSP90AA1,0.62,0.02,0.004612707,5.87E-05
CHEMBL1466186,HSP90AA1,0.54,0.04,0.003916449,0.000117361
ALEXIDINE HYDROCHLORIDE,HSP90AA1,0.51,0.02,0.003655352,5.87E-05
DICHLOROPHEN,HSP90AA1,0.48,0.02,0.003394256,5.87E-05
CLOTRIMAZOLE,HSP90AA1,0.48,0.01,0.003394256,2.93E-05
THONZONIUM BROMIDE,HSP90AA1,0.48,0.04,0.003394256,0.000117361
DIPYRIDAMOLE,HSP90AA1,0.48,0.01,0.003394256,2.93E-05
POMIFERIN,HSP90AA1,0.48,0.04,0.003394256,0.000117361
CALCIMYCIN,HSP90AA1,0.46,0.02,0.003220191,5.87E-05
SCLEROTIORIN,HSP90AA1,0.44,0.03,0.003046127,8.80E-05
CHEMBL428064,HSP90AA1,0.44,0.03,0.003046127,8.80E-05
TRICLOSAN,HSP90AA1,0.44,0.03,0.003046127,8.80E-05
CALMIDAZOLIUM CHLORIDE,HSP90AA1,0.44,0.02,0.003046127,5.87E-05
CHEMBL1224755,HSP90AA1,0.4,0.03,0.002697998,8.80E-05
CHEMBL578944,HSP90AA1,0.4,0.03,0.002697998,8.80E-05
KEPONE,HSP90AA1,0.36,0.03,0.002349869,8.80E-05
NANAOMYCIN,HSP90AA1,0.34,0.02,0.002175805,5.87E-05
CETYLPYRIDINIUM BROMIDE,HSP90AA1,0.34,0.02,0.002175805,5.87E-05
KETOCONAZOLE,HSP90AA1,0.34,0.01,0.002175805,2.93E-05
CHEMBL528694,HSP90AA1,0.31,0.02,0.001914708,5.87E-05
NITROXOLINE,HSP90AA1,0.31,0.02,0.001914708,5.87E-05
MICONAZOLE,HSP90AA1,0.23,0.02,0.001218451,5.87E-05
GELDANAMYCIN,HSP90AB1,27.88,1.41,0.241862489,0.00413696
RADICICOL,HSP90AB1,21.78,1.32,0.188772846,0.003872899
TANESPIMYCIN,HSP90AB1,18.43,1.12,0.159617058,0.003286096
CHEMBL113690,HSP90AB1,17.42,2.64,0.150826806,0.007745797
CHEMBL553939,HSP90AB1,13.07,1.98,0.112967798,0.005809348
ALVESPIMYCIN,HSP90AB1,9.8,0.99,0.084508268,0.002904674
RADANAMYCIN,HSP90AB1,8.71,1.32,0.075021758,0.003872899
RETASPIMYCIN HYDROCHLORIDE,HSP90AB1,8.71,0.88,0.075021758,0.002581932
CHEMBL2022241,HSP90AB1,8.71,1.32,0.075021758,0.003872899
RETASPIMYCIN,HSP90AB1,8.71,0.88,0.075021758,0.002581932
MONOCILLIN I,HSP90AB1,8.71,1.32,0.075021758,0.003872899
COUMERMYCIN A1,HSP90AB1,8.71,2.64,0.075021758,0.007745797
CYCLOPROPARADICICOL,HSP90AB1,8.71,2.64,0.075021758,0.007745797
CHEMBL192264,HSP90AB1,8.71,1.32,0.075021758,0.003872899
CUCURBITACIN D,HSP90AB1,8.71,1.32,0.075021758,0.003872899
CHEMBL383189,HSP90AB1,8.71,1.32,0.075021758,0.003872899
CHEMBL1235084,HSP90AB1,8.71,2.64,0.075021758,0.007745797
GANETESPIB,HSP90AB1,7.26,0.44,0.062402089,0.001290966
NOVOBIOCIN,HSP90AB1,6.97,0.53,0.059878155,0.001555027
CELASTROL,HSP90AB1,6.53,0.99,0.056048738,0.002904674
GEDUNIN,HSP90AB1,6.53,0.66,0.056048738,0.001936449
ZEARALANONE,HSP90AB1,4.36,0.66,0.03716275,0.001936449
TAS-116,HSP90AB1,4.36,1.32,0.03716275,0.003872899
PU-H71,HSP90AB1,4.36,1.32,0.03716275,0.003872899
SILIBININ,HSP90AB1,3.63,0.22,0.030809399,0.000645483
XL-888,HSP90AB1,3.27,0.33,0.02767624,0.000968225
LUMINESPIB,HSP90AB1,3.27,0.33,0.02767624,0.000968225
GAMBOGIC ACID,HSP90AB1,2.9,0.29,0.024456049,0.000850864
DERRUBONE,HSP90AB1,2.9,0.44,0.024456049,0.001290966
CHEMBL399530,HSP90AB1,2.49,0.38,0.020887728,0.001114925
ZEARALENONE,HSP90AB1,1.34,0.1,0.010879025,0.000293401
ZERANOL,HSP90AB1,1.09,0.17,0.00870322,0.000498782
POLAPREZINC,HSP90AB1,1.09,0.17,0.00870322,0.000498782
BEVACIZUMAB,HSP90AB1,1.06,0.06,0.008442124,0.000176041
DAUNORUBICIN HYDROCHLORIDE,HSP90AB1,0.92,0.04,0.007223673,0.000117361
CHEMBL53898,HSP90AB1,0.92,0.07,0.007223673,0.000205381
CHEMBL578512,HSP90AB1,0.9,0.05,0.007049608,0.000146701
TETRACYCLINE,HSP90AB1,0.77,0.08,0.00591819,0.000234721
DOXORUBICIN HYDROCHLORIDE,HSP90AB1,0.77,0.04,0.00591819,0.000117361
DIACEREIN,HSP90AB1,0.77,0.08,0.00591819,0.000234721
NORDIHYDROGUAIARETIC ACID,HSP90AB1,0.75,0.04,0.005744125,0.000117361
RHEIN,HSP90AB1,0.7,0.05,0.005308964,0.000146701
DIPYRIDAMOLE,HSP90AB1,0.48,0.02,0.003394256,5.87E-05
FAMOXADONE,CYC1,5.23,2.84,0.044734552,0.0083326
COENZYME Q2,CYC1,5.23,2.84,0.044734552,0.0083326
CHEMBL1235570,CYC1,5.23,2.84,0.044734552,0.0083326
AZOXYSTROBIN,CYC1,4.36,2.37,0.03716275,0.006953613
PRIMAQUINE,KRT7,3.92,17.04,0.033333333,0.049995599
COPPER,PRSA,5.63,0.24,0.04821584,0.000704163
TIGAPOTIDE,PRSA,4.36,11.36,0.03716275,0.033330399
DAUNORUBICIN,PRSA,1.95,0.34,0.01618799,0.000997565
DOXORUBICIN,PRSA,1.83,0.24,0.015143603,0.000704163
MITOXANTRONE,PRSA,1.49,0.55,0.012184508,0.001613708
CARBAMAZEPINE,HSPA1A,0.73,2.37,0.005570061,0.006953613
COPPER,HSPD1,5.63,0.3,0.04821584,0.000880204
CETRORELIX,HSPD1,4.36,7.1,0.03716275,0.0208315
DIAPEP-277,HSPD1,2.18,7.1,0.01818973,0.0208315
ATORVASTATIN,HSPD1,0.68,0.44,0.0051349,0.001290966
MOROCTOCOG ALFA,HSPA5,7.92,1.22,0.068146214,0.003579497
COPPER,HSPA5,5.63,0.07,0.04821584,0.000205381
STROBOPININ,HSPA5,4.36,3.34,0.03716275,0.009799607
IT-139,HSPA5,2.18,1.67,0.01818973,0.004899803
CHEMBL524376,HSPA5,1.45,1.11,0.011836379,0.003256756
5-NITRO-2-PHENYLPROPYLAMINOBENZOIC ACID [NPPB],HSPA5,1.45,1.11,0.011836379,0.003256756
CHLORQUINALDOL,HSPA5,1.09,0.84,0.00870322,0.002464572
THAPSIGARGIN,HSPA5,1.09,0.84,0.00870322,0.002464572
FLUOROURACIL,HSPA5,1.08,0.06,0.008616188,0.000176041
DAPHNETIN,HSPA5,0.97,0.37,0.007658834,0.001085585
CHEMBL56543,HSPA5,0.93,0.24,0.007310705,0.000704163
CHEMBL480626,HSPA5,0.87,0.67,0.006788512,0.001965789
4-METHYLDAPHNETIN,HSPA5,0.87,0.67,0.006788512,0.001965789
CHEMBL67535,HSPA5,0.69,0.18,0.005221932,0.000528123
NORGESTREL,HSPA5,0.62,0.48,0.004612707,0.001408327
EUPAFOLIN,HSPA5,0.27,0.21,0.00156658,0.000616143
MIANSERIN,HSPA5,0.16,0.12,0.000609225,0.000352082
ARTENIMOL,HSPA8,7.53,0.08,0.064751958,0.000234721
CHEMBL487046,HSPA8,4.36,3.16,0.03716275,0.009271484
CHEMBL502775,HSPA8,4.36,1.58,0.03716275,0.004635742
CHEMBL516357,HSPA8,4.36,3.16,0.03716275,0.009271484
COPPER,HSPA8,3.75,0.04,0.031853786,0.000117361
ANTIBIOTIC,HSPA8,3.48,0.63,0.029503916,0.001848429
CHEMBL471004,HSPA8,2.18,1.58,0.01818973,0.004635742
CISPLATIN,HSPA8,1.77,0.04,0.01462141,0.000117361
ACETAMINOPHEN,HSPA8,1.31,0.16,0.010617929,0.000469442
TRETINOIN,HSPA8,1.19,0.14,0.009573542,0.000410762
DEXAMETHASONE,HSPA8,1.11,0.07,0.008877285,0.000205381
CHEMBL1481974,HSPA8,1.09,0.39,0.00870322,0.001144265
DASATINIB,HSPA8,0.98,0.08,0.007745866,0.000234721
HEXACHLOROPHENE,HSPA8,0.81,0.07,0.006266319,0.000205381
ADENOSINE DIPHOSPHATE,HSPA8,0.73,0.53,0.005570061,0.001555027
BUPIVACAINE,HSPA8,0.67,0.49,0.005047868,0.001437667
ADENOSINE TRIPHOSPHATE,HSPA8,0.53,0.06,0.003829417,0.000176041
ELLAGIC ACID,HSPA8,0.48,0.07,0.003394256,0.000205381
THIOCTIC ACID,SLC2A1,8.71,8.74,0.075021758,0.025643283
CARBOXYMETHYLCELLULOSE,SLC2A1,8.71,8.74,0.075021758,0.025643283
PIOGLITAZONE,SLC2A1,1.54,0.51,0.012619669,0.001496347
THYMIDINE,SLC2A1,1.45,1.46,0.011836379,0.00428366
ROSIGLITAZONE,SLC2A1,1.36,0.27,0.01105309,0.000792184
RESVERATROL,SLC2A1,1.3,0.13,0.010530896,0.000381422
TRIAMCINOLONE,SLC2A1,1.14,0.38,0.009138381,0.001114925
GENISTEIN,SLC2A1,0.98,0.14,0.007745866,0.000410762
DIAZEPAM,SLC2A1,0.87,0.29,0.006788512,0.000850864
PHENYTOIN,SLC2A1,0.83,0.21,0.006440383,0.000616143
PROGESTERONE,SLC2A1,0.79,0.11,0.006092254,0.000322742
GENTAMICIN,SLC2A1,0.76,0.38,0.005831158,0.001114925
GLUFOSFAMIDE,SLC2A1,0.54,0.55,0.003916449,0.001613708
DEOXYCHOLIC ACID,PCNA,4.36,14.2,0.03716275,0.041662999
CAPSAICIN,PCNA,1.54,1.67,0.012619669,0.004899803
LIOTHYRONINE,PCNA,0.97,3.16,0.007658834,0.009271484
PENTOXIFYLLINE,PCNA,0.25,0.81,0.001392515,0.002376551
ETIDRONIC ACID,SLC25A6,4.65,7.57,0.039686684,0.022210486
CLODRONIC ACID,SLC25A6,2.61,5.68,0.021932115,0.0166652
TRIBUTYRIN,XRCC5,4.36,5.68,0.03716275,0.0166652
CAMPTOTHECIN,XRCC5,2.18,0.63,0.01818973,0.001848429
PHENYLBUTANOIC ACID,XRCC5,1.87,1.62,0.015491732,0.004753103
CISPLATIN,XRCC5,1.77,0.15,0.01462141,0.000440102
THALIDOMIDE,XRCC5,0.97,0.63,0.007658834,0.001848429
LACTIMIDOMYCIN,EEF2,8.71,14.2,0.075021758,0.041662999
CHEMBL384759,EEF2,7.26,0.79,0.062402089,0.002317871
MOXETUMOMAB PASUDOTOX,EEF2,4.36,7.1,0.03716275,0.0208315
ESKETAMINE,EEF2,3.92,2.13,0.033333333,0.00624945
PJ34,EEF2,2.9,4.73,0.024456049,0.013877886
OPORTUZUMAB MONATOX,EEF2,2.18,3.55,0.01818973,0.01041575
CYCLOHEXIMIDE,EEF2,1.24,1.01,0.010008703,0.002963354
DENILEUKIN DIFTITOX,EEF2,1.09,1.78,0.00870322,0.005222545
PYRIDINE-2,P4HA1,8.71,22.72,0.075021758,0.066660799
HYDRALAZINE,P4HA1,6.41,3.34,0.055004352,0.009799607
LUFIRONIL,P4HA1,4.36,11.36,0.03716275,0.033330399
SAFIRONIL,P4HA1,4.36,11.36,0.03716275,0.033330399
PROLINE,P4HA1,3.73,1.62,0.031679721,0.004753103
CHEMBL1941138,PKM,17.42,5.28,0.150826806,0.015491594
CHEMBL1084625,PKM,8.71,2.64,0.075021758,0.007745797
CHEMBL1088762,PKM,8.71,2.64,0.075021758,0.007745797
CHEMBL1090777,PKM,8.71,2.64,0.075021758,0.007745797
ARTENIMOL,PKM,7.53,0.03,0.064751958,8.80E-05
PYRUVATE,PKM,7.47,0.57,0.064229765,0.001672388
PHOSPHOGLYCOLIC ACID,PKM,6.97,1.06,0.059878155,0.003110055
CHEMBL1091502,PKM,4.36,1.32,0.03716275,0.003872899
TT-232,PKM,4.36,1.32,0.03716275,0.003872899
MITAPIVAT,PKM,4.36,1.32,0.03716275,0.003872899
CHEMBL585265,PKM,4.36,1.32,0.03716275,0.003872899
COPPER,PKM,3.75,0.02,0.031853786,5.87E-05
SULFADIAZINE,PKM,2.9,0.44,0.024456049,0.001290966
CHEMBL429335,PKM,2.61,0.26,0.021932115,0.000762844
CHEMBL1093369,PKM,2.18,0.66,0.01818973,0.001936449
CHEMBL1214407,PKM,2.18,0.33,0.01818973,0.000968225
CHEMBL154580,PKM,1.98,0.12,0.016449086,0.000352082
CHEMBL1303948,PKM,1.87,0.19,0.015491732,0.000557463
CIS-RESVERATROL,PKM,1.87,0.19,0.015491732,0.000557463
CHEMBL595227,PKM,1.74,0.13,0.014360313,0.000381422
CHEMBL261693,PKM,1.74,0.26,0.014360313,0.000762844
CHEMBL473721,PKM,1.63,0.17,0.013402959,0.000498782
TRANILAST,PKM,1.58,0.12,0.012967798,0.000352082
CHEMBL408850,PKM,1.58,0.12,0.012967798,0.000352082
CHEMBL297784,PKM,1.58,0.12,0.012967798,0.000352082
HYDRALAZINE,PKM,1.28,0.08,0.010356832,0.000234721
CHEMBL1333049,PKM,1.24,0.19,0.010008703,0.000557463
THIRAM,PKM,1.14,0.06,0.009138381,0.000176041
NITAZOXANIDE,PKM,1.09,0.11,0.00870322,0.000322742
INDIRUBIN-3-MONOXIME,PKM,1.02,0.08,0.008093995,0.000234721
AMLEXANOX,PKM,0.97,0.07,0.007658834,0.000205381
CHEMBL599013,PKM,0.93,0.09,0.007310705,0.000264061
EBSELEN,PKM,0.85,0.04,0.006614447,0.000117361
NICLOSAMIDE,PKM,0.78,0.05,0.006005222,0.000146701
SANGUINARIUM,PKM,0.7,0.05,0.005308964,0.000146701
CHEMBL56731,PKM,0.69,0.07,0.005221932,0.000205381
CHEMBL584458,PKM,0.62,0.09,0.004612707,0.000264061
4-CHLOROMERCURIBENZOIC ACID,PKM,0.62,0.05,0.004612707,0.000146701
ERBSTATIN,PKM,0.62,0.09,0.004612707,0.000264061
CHEMBL35482,PKM,0.59,0.04,0.00435161,0.000117361
CHEMBL125044,PKM,0.48,0.15,0.003394256,0.000440102
CHEMBL576409,PKM,0.41,0.06,0.00278503,0.000176041
PSEUDOEPHEDRINE,PKM,0.38,0.06,0.002523934,0.000176041
CHEMBL1234162,HSP90B1,17.42,28.4,0.150826806,0.083325998
CHEMBL1513348,HSP90B1,17.42,28.4,0.150826806,0.083325998
RIFABUTIN,HSP90B1,11.62,9.47,0.100348129,0.027785113
RADICICOL,HSP90B1,7.26,2.37,0.062402089,0.006953613
GELDANAMYCIN,HSP90B1,5.23,1.42,0.044734552,0.0041663
COPPER,HSP90B1,3.75,0.1,0.031853786,0.000293401
VIAGENPUMATUCEL-L,HSP90B1,2.18,3.55,0.01818973,0.01041575
SEMAPIMOD,HSP90B1,1.45,1.18,0.011836379,0.003462137
COPPER,HNRNPL,3.75,0.79,0.031853786,0.002317871
ASPARTIC ACID,DARS,10.16,18.94,0.087641427,0.055570226
COPPER,RPS2,3.75,0.79,0.031853786,0.002317871
ISTAROXIME,ATP2A2,13.07,28.4,0.112967798,0.083325998
GALLOPAMIL,ATP2A2,1.45,6.31,0.011836379,0.018513628
CELECOXIB,ATP2A2,1.04,0.57,0.008268059,0.001672388
GLUTAMINE,CTPS1,8.71,28.4,0.075021758,0.083325998
CARFILZOMIB,PSMC3,6.11,0.8,0.052393386,0.002347211
BORTEZOMIB,PSMC3,5.42,0.5,0.046388164,0.001467007
PHENETHYLISOTHIOCYANATE,PSMC3,5.26,0.43,0.044995648,0.001261626
IXAZOMIB CITRATE,PSMC3,2.29,0.3,0.019147084,0.000880204
OPROZOMIB,PSMC3,2.23,0.29,0.018624891,0.000850864
CHEMBL384759,ARF4,1.81,1.58,0.014969539,0.004635742
QUARFLOXIN,NCL,2.9,37.87,0.024456049,0.111111111
ARTENIMOL,FLNA,7.53,1.4,0.064751958,0.00410762
CHEMBL3185220,VDAC1,6.53,10.65,0.056048738,0.031247249
OLESOXIME,VDAC1,2.18,3.55,0.01818973,0.01041575
NABIXIMOLS,VDAC1,0.59,0.65,0.00435161,0.001907109
CANNABIDIOL,VDAC1,0.41,0.66,0.00278503,0.001936449
CHEMBL329592,SDHB,8.71,28.4,0.075021758,0.083325998
COENZYME Q1,SDHB,4.36,7.1,0.03716275,0.0208315
ANTIBIOTIC,SDHB,3.48,2.84,0.029503916,0.0083326
DOXORUBICIN,SDHB,2.75,0.45,0.023150566,0.001320306
ENTACAPONE,COMT,39.2,13.45,0.340382942,0.039462489
TOLCAPONE,COMT,37.02,12.71,0.321409922,0.037291318
OPICAPONE,COMT,21.78,7.47,0.188772846,0.021917085
CISPLATIN,COMT,8.83,0.1,0.076066144,0.000293401
CHEMBL1233867,COMT,8.71,2.99,0.075021758,0.008772702
CHEMBL387347,COMT,8.71,2.99,0.075021758,0.008772702
SUFENTANIL,COMT,8.09,2.78,0.069625762,0.008156559
REMIFENTANIL,COMT,8.09,2.78,0.069625762,0.008156559
MORPHINE,COMT,6.94,0.79,0.059617058,0.002317871
OXYCODONE,COMT,6.29,2.16,0.053959965,0.00633747
"3,5-DINITROCATECHOL",COMT,5.81,1,0.049782419,0.002934014
ADEMETIONINE,COMT,3.92,0.45,0.033333333,0.001320306
METHADONE,COMT,3.59,0.62,0.030461271,0.001819089
MODAFINIL,COMT,3.56,1.22,0.030200174,0.003579497
NIALAMIDE,COMT,2.9,0.5,0.024456049,0.001467007
METHYLPHENIDATE,COMT,2.56,0.29,0.021496954,0.000850864
VENLAFAXINE,COMT,2.18,0.37,0.01818973,0.001085585
2-METHOXYESTRADIOL,COMT,1.74,0.2,0.014360313,0.000586803
BENZTROPINE,COMT,1.45,0.5,0.011836379,0.001467007
RISPERIDONE,COMT,1.17,0.07,0.009399478,0.000205381
HALOPERIDOL,COMT,1.16,0.06,0.009312446,0.000176041
METHYLDOPA,COMT,1.02,0.01,0.008093995,2.93E-05
DIACETYLMORPHINE,COMT,1.01,0.11,0.008006963,0.000322742
NICOTINE,COMT,0.97,0.17,0.007658834,0.000498782
BUPROPION,COMT,0.92,0.16,0.007223673,0.000469442
SERTRALINE,COMT,0.91,0.06,0.007136641,0.000176041
BUPRENORPHINE,COMT,0.79,0.27,0.006092254,0.000792184
PAROXETINE,COMT,0.77,0.09,0.00591819,0.000264061
CLOZAPINE,COMT,0.76,0.04,0.005831158,0.000117361
FLUVOXAMINE,COMT,0.62,0.21,0.004612707,0.000616143
TRIHEXYPHENIDYL,COMT,0.62,0.21,0.004612707,0.000616143
LEVODOPA,COMT,0.59,0.04,0.00435161,0.000117361
FENTANYL,COMT,0.5,0.17,0.00356832,0.000498782
SUMATRIPTAN,COMT,0.48,0.17,0.003394256,0.000498782
LITHIUM,COMT,0.36,0.03,0.002349869,8.80E-05
NOREPINEPHRINE,COMT,0.32,0.06,0.002001741,0.000176041
QUETIAPINE,COMT,0.19,0.06,0.000870322,0.000176041
OLANZAPINE,COMT,0.12,0.02,0.000261097,5.87E-05
CHEMBL384759,NME2,1.81,0.32,0.014969539,0.000938884
LAMIVUDINE,NME2,0.84,0.44,0.006527415,0.001290966
PROGESTERONE,NME2,0.79,0.3,0.006092254,0.000880204
TENOFOVIR,NME2,0.73,0.95,0.005570061,0.002787313
ZIDOVUDINE,NME2,0.27,0.71,0.00156658,0.00208315
ARTENIMOL,HNRNPA2B1,7.53,0.7,0.064751958,0.00205381
COPPER,HNRNPA2B1,3.75,0.39,0.031853786,0.001144265
PEMBROLIZUMAB,JAK1,6.34,0.31,0.054395126,0.000909544
RUXOLITINIB,JAK1,4.72,1.86,0.040295909,0.005457266
ITACITINIB,JAK1,4.36,1.72,0.03716275,0.005046504
GLPG-0555,JAK1,4.36,1.72,0.03716275,0.005046504
INCB-047986,JAK1,4.36,1.72,0.03716275,0.005046504
UPADACITINIB,JAK1,3.63,1.43,0.030809399,0.00419564
PEFICITINIB,JAK1,3.48,1.38,0.029503916,0.004048939
BARICITINIB,JAK1,3.27,1.29,0.02767624,0.003784878
FILGOTINIB,JAK1,3.27,1.29,0.02767624,0.003784878
SOLCITINIB,JAK1,3.27,1.29,0.02767624,0.003784878
ABROCITINIB,JAK1,2.9,1.15,0.024456049,0.003374116
CERDULATINIB,JAK1,2.9,0.57,0.024456049,0.001672388
FEDRATINIB,JAK1,2.18,0.86,0.01818973,0.002523252
BREPOCITINIB,JAK1,2.18,0.86,0.01818973,0.002523252
MOMELOTINIB,JAK1,2.18,0.86,0.01818973,0.002523252
TRICETAMIDE,JAK1,2.18,0.86,0.01818973,0.002523252
RUXOLITINIB PHOSPHATE,JAK1,2.18,0.86,0.01818973,0.002523252
PACRITINIB,JAK1,1.74,0.34,0.014360313,0.000997565
CHEMBL21156,JAK1,1.74,0.69,0.014360313,0.00202447
AZD-1480,JAK1,1.45,0.57,0.011836379,0.001672388
DECERNOTINIB,JAK1,1.45,0.57,0.011836379,0.001672388
XL-019,JAK1,1.45,0.57,0.011836379,0.001672388
TOFACITINIB,JAK1,1.45,0.57,0.011836379,0.001672388
MYRICETIN,JAK1,1.45,0.08,0.011836379,0.000234721
ZOTIRACICLIB,JAK1,1.19,0.16,0.009573542,0.000469442
DELGOCITINIB,JAK1,1.09,0.43,0.00870322,0.001261626
OCLACITINIB,JAK1,1.09,0.43,0.00870322,0.001261626
ENZASTAURIN,JAK1,1.09,0.22,0.00870322,0.000645483
BMS-911543,JAK1,1.09,0.43,0.00870322,0.001261626
NS-018,JAK1,1.09,0.43,0.00870322,0.001261626
TOFACITINIB CITRATE,JAK1,1.09,0.43,0.00870322,0.001261626
FOSTAMATINIB,JAK1,0.96,0.01,0.007571802,2.93E-05
CYCLOSPORINE,JAK1,0.83,0.05,0.006440383,0.000146701
MG-132,CFL1,8.71,1.72,0.075021758,0.005046504
ARTENIMOL,CFL1,7.53,0.13,0.064751958,0.000381422
COPPER,CFL1,3.75,0.07,0.031853786,0.000205381
PATULIN,CFL1,2.9,1.15,0.024456049,0.003374116
CLOFIBRATE,CFL1,2.32,0.69,0.019408181,0.00202447
CHEMBL1233973,CFL1,1.94,1.15,0.016100957,0.003374116
ROTENONE,CFL1,1.87,0.74,0.015491732,0.00217117
SERTRALINE,CFL1,1.81,0.43,0.014969539,0.001261626
CINNARIZINE,CFL1,1.54,0.61,0.012619669,0.001789749
CLOTRIMAZOLE,CFL1,0.97,0.29,0.007658834,0.000850864
FENOFIBRATE,CFL1,0.84,0.33,0.006527415,0.000968225
ARTENIMOL,ATP5A1,7.53,0.47,0.064751958,0.001378987
QUERCETIN,ATP5A1,2.16,0.36,0.018015666,0.001056245
PICEATANNOL,ATP5A1,1.45,1.58,0.011836379,0.004635742
CARFILZOMIB,PSMA4,6.11,0.66,0.052393386,0.001936449
BORTEZOMIB,PSMA4,5.42,0.42,0.046388164,0.001232286
MARIZOMIB,PSMA4,2.83,0.47,0.023846823,0.001378987
IXAZOMIB CITRATE,PSMA4,2.29,0.25,0.019147084,0.000733504
OPROZOMIB,PSMA4,2.23,0.24,0.018624891,0.000704163
COTININE,PSMA4,0.44,0.95,0.003046127,0.002787313
PHENETHYLISOTHIOCYANATE,YWHAQ,5.26,2.14,0.044995648,0.00627879
MOROCTOCOG ALFA,CALR,11.88,3.44,0.102610966,0.010093008
TENECTEPLASE,CALR,5.08,1.05,0.043429069,0.003080715
OLTIPRAZ,CALR,4.36,3.16,0.03716275,0.009271484
COPPER,CALR,3.75,0.09,0.031853786,0.000264061
MELATONIN,CALR,1.92,0.56,0.015926893,0.001643048
LANOTEPLASE,CALR,1.79,0.37,0.014795474,0.001085585
CALCIUM CITRATE,CALR,0.79,0.19,0.006092254,0.000557463
CALCIUM PHOSPHATE,CALR,0.79,0.19,0.006092254,0.000557463
GENTAMICIN,CALR,0.76,0.55,0.005831158,0.001613708
ARTENIMOL,MAP4,7.53,0.47,0.064751958,0.001378987
PACLITAXEL,MAP4,1.74,0.38,0.014360313,0.001114925
DOCETAXEL,MAP4,1.17,0.46,0.009399478,0.001349646
MOROCTOCOG ALFA,CANX,13.86,6.02,0.119843342,0.017662764
MYELOPEROXIDASE,CANX,8.71,18.94,0.075021758,0.055570226
TENECTEPLASE,CANX,5.08,1.58,0.043429069,0.004635742
LANOTEPLASE,CANX,1.79,0.56,0.014795474,0.001643048
CALCIUM CITRATE,CANX,0.79,0.29,0.006092254,0.000850864
CALCIUM PHOSPHATE,CANX,0.79,0.29,0.006092254,0.000850864
COPANLISIB,PIK3R1,5.81,0.35,0.049782419,0.001026905
GEDATOLISIB,PIK3R1,5.41,0.22,0.046301131,0.000645483
SONOLISIB,PIK3R1,5.23,0.32,0.044734552,0.000938884
PF-04691502,PIK3R1,4.61,0.28,0.039338555,0.000821524
DS-7423,PIK3R1,4.36,0.26,0.03716275,0.000762844
OMIPALISIB,PIK3R1,4.13,0.25,0.03516101,0.000733504
PILARALISIB,PIK3R1,3.92,0.24,0.033333333,0.000704163
DACTOLISIB,PIK3R1,3.87,0.14,0.032898172,0.000410762
ISOPROTERENOL,PIK3R1,3.84,0.28,0.032637076,0.000821524
ALPELISIB,PIK3R1,3.17,0.14,0.026805918,0.000410762
BUPARLISIB,PIK3R1,2.9,0.13,0.024456049,0.000381422
VOXTALISIB,PIK3R1,2.9,0.18,0.024456049,0.000528123
WX-037,PIK3R1,2.72,0.2,0.022889469,0.000586803
GSK-1059615,PIK3R1,2.72,0.2,0.022889469,0.000586803
RECILISIB,PIK3R1,2.72,0.2,0.022889469,0.000586803
ZSTK-474,PIK3R1,2.72,0.2,0.022889469,0.000586803
APITOLISIB,PIK3R1,2.54,0.13,0.021322889,0.000381422
AZD-6482,PIK3R1,2.54,0.13,0.021322889,0.000381422
RG-7666,PIK3R1,2.42,0.18,0.020278503,0.000528123
SF-1126,PIK3R1,2.42,0.18,0.020278503,0.000528123
PWT-33587,PIK3R1,2.42,0.18,0.020278503,0.000528123
BGT-226,PIK3R1,2.42,0.18,0.020278503,0.000528123
PUQUITINIB,PIK3R1,2.38,0.14,0.019930374,0.000410762
SAMOTOLISIB,PIK3R1,2.18,0.16,0.01818973,0.000469442
TASELISIB,PIK3R1,1.98,0.14,0.016449086,0.000410762
WORTMANNIN,PIK3R1,1.88,0.09,0.015578764,0.000264061
VS-5584,PIK3R1,1.81,0.13,0.014969539,0.000381422
PANULISIB,PIK3R1,1.81,0.13,0.014969539,0.000381422
PA-799,PIK3R1,1.81,0.13,0.014969539,0.000381422
PICTILISIB,PIK3R1,1.74,0.11,0.014360313,0.000322742
GSK-2636771,PIK3R1,1.63,0.1,0.013402959,0.000293401
PI-103,PIK3R1,1.52,0.08,0.012445605,0.000234721
INFIGRATINIB,PIK3R1,1.14,0.07,0.009138381,0.000205381
QUERCETIN,PIK3R1,1.08,0.02,0.008616188,5.87E-05
EVEROLIMUS,PIK3R1,0.96,0.04,0.007571802,0.000117361
ENZASTAURIN,PIK3R1,0.54,0.1,0.003916449,0.000293401
COPPER,HNRNPH1,3.75,0.79,0.031853786,0.002317871
